StartOfFile
a few	paar
CD	Kompakte Scheibe
Christmas day	Weihnachtstag
Costa Rica	Kosta-Rika
English language	Englischesprache
German Mark	Deutschemark
Matinee	Vorstellung morgen
Mediterranean Sea	Mittelmeer
Western Hemisphere	Westhemisphäre
abandoned	verlassen verworfen
abandonments	Preisgabe Verzicht
abase	erniedrigen demu.tigen
abased	erniedrigt demu.tigt
abasement	Erniedrigung Demu.tigung
abasement	erniedrigung demu.tigung
abasements	Erniedrigung Demütigung
abases	erniedrigt demütigt
abashment	Bescha.mung Verlegenheit
abasing	erniedrigend demütigend
abate	verringern vermindern
abatement	Abnehmen Nachlassen
abatements	Abnehmen Nachlassen
abatis	Baumverhau (mil.)
abbacy	Amt Wu.rde
abbreviation	die Abku.rzung
abc	das Alphabet
abdicate	entsagen abdanken
abdomens	die Baeuche
abductor	der Entfu.hrer
abductors	die Entfu.hrer
aberrance	Abweichung; Verirrung
aberrancy	Abweichung Verirrung
aberration	die Abweichung
abet	helfen unterstu.tzen
abetment	Beihilfe Vorschub
abetter	der(/die) Helfershelfer(in)
abhorrent	verhaßt zuwider
abide	befolgen einhalten
abiding	dauernd beständig
ablaze	in Flammen
aboard	an Bord
abominable	abscheulich widerwa.rtig
aboriginal	eingeboren ureingesessen
aborted	abgebrochen abgetrieben
abortion	Abtreibung [Abbruch]
abortions	Beendigungen Abtreibungen
aborts	bricht ab
abrasive	abreibend abschleifend
abrasiveness	Scha.rfe Rauheit
abrasives	Scheuermittel Schleifmittel
abridge	kuerzen abkuerzen
abridged	gekuerzt abgekuerzt
abroad	im Ausland
abrogate	abschaffen; beseitigen
abrogation	Abschaffung Aufhebung
abscission	Abtrennung Abschneiden
abscond	sich verbergen
absconder	Flu.chtiger Flu.chtige
absconds	verbirgt sich
absentee	der/die Abwesende
absentees	die Abwesenden
absinth	Absinth Wermut
absinthe	Absinth Wermut
absolutely	völlig absolut
absolutism	der Absolutismus
abstain	sich enthalten
abstainer	sich enthalten
abstinence	Abstinenz Enthaltung
abundance	Fülle Übermaß
abusive	destruktiv gewalttätig
abut	anstossen angrenzen
abysmally	entsetzlich miserabel
abyss	Abgrund; Ho.lle
abyssal	abgrundtief tief
acanthus	Ba.renklau Akanthus
acarpellous	ohne Fruchtbla.tter
