StartOfFile
a un
American americano
April abril
August agosto
Christmas la_Navidad
December diciembre
England la_Inglaterra
Europe la_Europa
February febrero
France la_Francia
Friday el_viernes
Germany la_Alemania
I yo
Italy Italia
January enero
July julio
June junio
March marzo
May mayo
Monday el_lunes
November noviembre
October octubre
September septiembre
Sunday el_domingo
Thursday el_jueves
Tuesday el_martes
aardvark cerdo_hormiguero
aardvarks cerdos_hormigueros
aback hacia_atrasaback
abacterial abacteriano
sin bacterias
abacus a/baco
abacuses a/bacos
abaft A_popa
abalone abulón
abalones abulones
abandon abandonar
abandoned abandonado
abandonee abandonado
abandoner abandonador
abandoning abandonando
abandonment abandono
abandonments abandonos
abandons abandona
abase abatir
abased degradado
abasement envilecimiento
abasements humillaciones
abaser humillador
abases degrada
abash humilla
abashed avergonzado
abashes avergüenza
abashing vergonzante
abashment Vergüenza
abasing humillante
abate disminuir
abated amainado
abatement abolición
abatements rebajas
abater rebajador
abates satélites
abating superando_una_marca
abatis barricada_con_alambre_de_púas
abatises Barricads
abattoir degolladero
abaxial abacial
abbacy Abadía
abbas tío_de_Mahoma.
abbe abateabberations
abberations desvi/o
abbey abadi/a
abbeys Abadías
abbot Abad
abbots abades
abbreviate abreviar
abbreviated abreviado
abbreviates abrevia
abbreviating abreviando
abbreviation abreviación
abbreviations abreviaciones
abbreviator abreviador
abc abc
abdicable abdicable
abdicate abdicar
abdicated abdicado
abdication abdicación
abdicator abdicador
abdomen abdómen
abdomens abdomenes
abdominal abdominal
abdominally abdominalmente
abduce abducir
abduced abducido
abducens músculo_abductor
abducent Abductor
abducentes abducentes
abducing Abductor
abduct secuestrar_raptar
abducted secuestrado_raptado
abducting secuestrando_raptando
abduction abducción
abductions secuestros
abductor Abductor
abductors Abductores
abducts secuestra
abeam al_trav/es
abecedarian abecedario
abed en_cama
aberrance equivocación
aberrancy aberraci/on
aberrant aberrante
aberrantly aberrantemente
aberrate aberrar
aberrated aberrado
aberration aberración
aberrational aberrante
aberrations aberraciones
abet animar
abetment colaboración
abets apoya
abetted Apoyado
abetter instigador
abetting instigando
abettor instigador
abeyance en_desuso
abeyant en_suspenso
abhor detestar
abhorred odiado
abhorrence odio
abhorrent odioso
abhorrently en_forma_aborreciente
abhorrer la_persona_que_odia
abhorring aborreciente
abhors odia
abidance tolerancia
abided moró
abider morador
abides mora
abiding permanente
abidingly permanentemente
abilities habilidades
ability habilidad
abiogenesis abioge/nesis
abiogenetic abiogenético
abiogenetical abiogenético
abiogenetically abiogenéticamente
abiological abiológico
abiologically abológicamente
abiotic abiótico
abiotically abióticamente
abject abyecto
abjection abyección
abjections abyecciones
abjectly abyectamente
abjectness abyección
abjuration abjuración
abjure renunciar
abjured abjurado
abjurer abjurar
abjures abjura
abjuring abjurando
ablate extirpar
ablated extirpado
ablating extirpando
ablation extirpación
ablative ablativo
ablaut quesontes
ablaze ardiendo
able capaz
abler mas_capaz
ablest más_capaz
abloom en_flor
ablution ablución
ablutionary ablucionario
ablutions abluciones
ably ha/bilmente
abnegate abnegar
abnegates abniega
abnegation abnegación
abnegator abnegador
abnormal anormal
abnormalities anormalidades
abnormality anormalmente
abnormalize anormalizar
abnormalizes anormaliza
abnormally anormalmente
aboard a_bordo
abodes domicilios
aboil abolir
abolish abolir
abolishable abolible
abolished abolido
abolisher abolicionista
abolishers abolicionistas
abolishes abole
abolishing aboliendo
abolishment abolici/on
abolition abolición
abolitionary abolicionista
abolitionism abolicionismo
abolitionist abolicionista
abolitionists abolicionistas
abolitionize abolicionar
abomasal del_cuarto_estómago
abominable abominable
abominably abominablemente
abominate abominar
abomination abominación
abominations abominaciones
abominator abominador
abominators abominadores
aboral aboral
aborally de_manera_aboral
aboriginal aborigen
aboriginally aboriginalmente
aborigine aborigen
aborigines aborigenes
aborning naciente
abort abortar
aborted abortado
aborter abortante
abortifacient abortivo
aborting abortando
abortion aborto
abortionist abortista
abortionists abortistas
abortions abortos
abortive abortivo
abortively abortivamente
abortiveness calidad_de_abortivo
aborts abortos
abound abundar
abounded abundó
abounding abundando
abounds abunda
about acerca
above arriba
aboveboard legi/timo
aboveground sobrenivel
abovementioned arriba_citado
abradable abrasibleabradant_abrasivo
abraded raído
abrader que_raspa
abrades raspar
abrading raspando
abrasion abrasi/on
abrasions abrasiones
abrasive abrasivo
abrasively abrasivamente
